LicorFile,DAQFile,PICARROFile,OverlapStart,OverlapEnd,OverlapDuration,Type,SensorA,SensorB
,04.22.2024\04_23_24_X_X.daq,04.22.2024\04_23_24_X_X.picarro,4/22/2024 11:44,5/15/2024 8:07,548:23:02,AMB,X,X
,05_07_24_X_X.daq,04.22.2024\04_23_24_X_X.picarro,4/22/2024 11:44,5/7/2024 9:31,357:47:10,AMB,X,X
,04.22.2024\04_22_24_X_X.daq,04.22.2024\04_23_24_X_X.picarro,4/22/2024 11:44,5/7/2024 9:31,357:47:10,AMB,X,X
07_06_24_PINK_X.licor,07_06_24_PINK_X.daq,,7/6/2023 7:37,7/10/2023 8:36,96:59:00,CL,PINK,X
06_16_24_E_C.licor,06_16_24_E_C.daq,,6/16/2024 11:18,6/18/2024 7:47,44:29:26,CL,E,C
06.16.2024\06_16_24_C_E.licor,06_16_24_E_C.daq,,6/16/2024 11:18,6/18/2024 7:47,44:29:26,CL,E,C
06_16_24_E_C.licor,06.16.2024\06_16_24_C_E.daq,,6/16/2024 11:18,6/18/2024 7:47,44:29:21,CL,C,E
06.16.2024\06_16_24_C_E.licor,06.16.2024\06_16_24_C_E.daq,,6/16/2024 11:18,6/18/2024 7:47,44:29:21,CL,C,E
07_05_24_E_C.licor,07.05.2024\07_05_24_E_C.daq,,7/5/2024 10:52,7/7/2024 7:12,44:20:16,CL,E,C
07.05.2024\07_05_24_E_C.licor,07.05.2024\07_05_24_E_C.daq,,7/5/2024 10:52,7/7/2024 7:12,44:20:16,CL,E,C
06_27_24_GREEN_X.licor,06_27_24_GREEN_X.daq,,6/27/2023 11:18,6/29/2023 7:18,44:00:00,CL,GREEN,X
07_09_24_E_C.licor,07.08.2024\07_08_24_E_C.daq,,7/8/2024 9:45,7/8/2024 23:59,14:14:57,CL,E,C
07.08.2024\07_08_24_E_C.licor,07.08.2024\07_08_24_E_C.daq,,7/8/2024 9:45,7/8/2024 23:59,14:14:57,CL,E,C
,10_10_24_A_G.daq,10.10.2024\10_10_24_A_G.picarro,10/10/2024 11:09,10/10/2024 23:59,12:50:57,CL,A,G
,10.10.2024\10_10_24_A_G.daq,10.10.2024\10_10_24_A_G.picarro,10/10/2024 11:09,10/10/2024 23:59,12:50:57,CL,A,G
07_09_24_E_C.licor,07.08.2024\07_09_24_E_C.daq,,7/9/2024 0:00,7/9/2024 6:58,6:58:15,AMB,E,C
07.08.2024\07_08_24_E_C.licor,07.08.2024\07_09_24_E_C.daq,,7/9/2024 0:00,7/9/2024 6:58,6:58:15,AMB,E,C
07_10_24_E_C.licor,07.09.2024\07_10_24_E_C.daq,,7/10/2024 0:00,7/10/2024 6:35,6:35:41,AMB,E,C
07.09.2024\07_10_24_E_C.licor,07.09.2024\07_10_24_E_C.daq,,7/10/2024 0:00,7/10/2024 6:35,6:35:41,AMB,E,C
03_27_23_BLUE_YELLOW.licor,03_27_23_BLUE_WHITE.daq,,3/27/2024 9:33,3/27/2024 10:45,1:12:00,CL,BLUE,WHITE
03_28_YELLOW_WHITE.licor,03_28_23_YELLOW_WHITE.daq,,3/28/2024 10:35,3/28/2024 10:38,0:02:38,CL,YELLOW,WHITE
