SensorID,Range,ModelType,Predictors,RMSE,R2
E,390_450,Linear,"X_C,X_T,X_H",4.15379537921179,0.734313961610842
E,390_450,Neural Network,"X_C,X_T,X_H",1.16971559492254,0.978931234201615
E,450_1200,Linear,"X_C,X_T,X_H",87.6045199190308,0.509171403422091
E,450_1200,Neural Network,"X_C,X_T,X_H",17.5514717432468,0.980298290640954
E,390_1200,Linear,"X_C,X_T,X_H",108.705598948945,0.634297428392374
E,390_1200,Neural Network,"X_C,X_T,X_H",11.3086386016119,0.996042282071984
D,390_450,Linear,"X_C,X_T,X_H",4.48142369686525,0.283728307731831
D,390_450,Neural Network,"X_C,X_T,X_H",0.594613937208849,0.987389975101144
D,450_1200,Linear,"X_C,X_T,X_H",24.2190616390916,0.933038019922024
D,450_1200,Neural Network,"X_C,X_T,X_H",2.70064208410309,0.999167378302116
D,390_1200,Linear,"X_C,X_T,X_H",14.0442085369601,0.96207905143581
D,390_1200,Neural Network,"X_C,X_T,X_H",0.46193396026263,0.999958975392305
C,390_450,Linear,"X_C,X_T,X_H",1.84854501504334,0.660276535955581
C,390_450,Neural Network,"X_C,X_T,X_H",1.34186534912317,0.820987499587586
C,450_1200,Linear,"X_C,X_T,X_H",70.1815425872817,0.515684921274603
C,450_1200,Neural Network,"X_C,X_T,X_H",29.4954927104998,0.914455226315081
C,390_1200,Linear,"X_C,X_T,X_H",122.134560035203,0.413501034598084
C,390_1200,Neural Network,"X_C,X_T,X_H",41.3446577756967,0.932790771719215
